cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,SAN GIL,SANTANDER,SANTANDER,Si,Si,73.0,72.0,60.0,70.0,68.0,350.0,Computador + internet
SANTANDER,PUERTO WILCHES,SANTANDER,SANTANDER,Si,Si,41.0,48.0,36.0,48.0,41.0,219.0,Computador + internet
SANTANDER,LANDAZURI,SANTANDER,SANTANDER,No,No,42.0,45.0,42.0,38.0,38.0,204.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,No,Si,62.0,66.0,50.0,57.0,60.0,302.0,Solo internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,70.0,50.0,64.0,58.0,61.0,300.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,58.0,53.0,52.0,59.0,52.0,276.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,62.0,65.0,57.0,52.0,48.0,284.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,62.0,65.0,57.0,52.0,48.0,284.0,Computador + internet
SANTANDER,CHARALA,SANTANDER,SANTANDER,No,No,57.0,53.0,47.0,59.0,58.0,280.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,63.0,72.0,49.0,72.0,69.0,337.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,43.0,60.0,48.0,37.0,49.0,236.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,87.0,71.0,97.0,96.0,79.0,422.0,Computador + internet
SANTANDER,CHIMA,SANTANDER,SANTANDER,Si,No,55.0,53.0,38.0,53.0,45.0,252.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,64.0,70.0,61.0,57.0,64.0,318.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,45.0,37.0,48.0,47.0,32.0,205.0,Solo internet
SANTANDER,SANTA HELENA DEL OPON,SANTANDER,SANTANDER,Si,Si,56.0,51.0,52.0,49.0,40.0,246.0,Computador + internet
SANTANDER,SANTA HELENA DEL OPON,SANTANDER,SANTANDER,Si,Si,56.0,51.0,52.0,49.0,40.0,246.0,Computador + internet
SANTANDER,SURATA,SANTANDER,SANTANDER,Si,No,76.0,56.0,60.0,67.0,68.0,331.0,Solo computador
SANTANDER,GIRON,SANTANDER,SANTANDER,No,No,57.0,57.0,40.0,50.0,54.0,267.0,Sin acceso
SANTANDER,VELEZ,SANTANDER,SANTANDER,No,No,42.0,69.0,50.0,65.0,52.0,281.0,Sin acceso
SANTANDER,SURATA,SANTANDER,SANTANDER,No,No,54.0,44.0,45.0,55.0,50.0,252.0,Sin acceso
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,No,No,40.0,41.0,40.0,42.0,43.0,207.0,Sin acceso
SANTANDER,CURITI,SANTANDER,SANTANDER,No,No,44.0,40.0,46.0,41.0,43.0,212.0,Sin acceso
SANTANDER,LEBRIJA,SANTANDER,SANTANDER,Si,Si,70.0,60.0,46.0,64.0,57.0,307.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,37.0,46.0,38.0,42.0,40.0,205.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,36.0,40.0,45.0,24.0,34.0,172.0,Computador + internet
SANTANDER,MATANZA,SANTANDER,SANTANDER,Si,No,68.0,53.0,46.0,60.0,55.0,290.0,Solo computador
SANTANDER,LEBRIJA,SANTANDER,SANTANDER,Si,No,51.0,58.0,50.0,49.0,46.0,254.0,Solo computador
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,No,29.0,49.0,46.0,48.0,44.0,213.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,60.0,69.0,76.0,70.0,68.0,337.0,Computador + internet
SANTANDER,CURITI,SANTANDER,SANTANDER,No,Si,42.0,31.0,42.0,36.0,32.0,179.0,Solo internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,54.0,40.0,43.0,51.0,41.0,231.0,Sin acceso
SANTANDER,SOCORRO,SANTANDER,SANTANDER,No,Si,46.0,34.0,50.0,43.0,42.0,210.0,Solo internet
SANTANDER,CHARALA,SANTANDER,SANTANDER,Si,No,62.0,62.0,50.0,60.0,61.0,302.0,Solo computador
SANTANDER,CHARALA,SANTANDER,SANTANDER,Si,No,62.0,62.0,50.0,60.0,61.0,302.0,Solo computador
SANTANDER,PUENTE NACIONAL,SANTANDER,SANTANDER,No,No,68.0,62.0,54.0,67.0,64.0,322.0,Sin acceso
