cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,64.0,52.0,62.0,59.0,49.0,282.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,64.0,63.0,60.0,64.0,55.0,307.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,62.0,66.0,66.0,62.0,58.0,312.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,51.0,51.0,54.0,46.0,53.0,253.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,45.0,51.0,50.0,48.0,44.0,236.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,50.0,47.0,56.0,53.0,38.0,238.0,Computador + internet
SANTANDER,SOCORRO,SANTANDER,SANTANDER,No,No,60.0,60.0,57.0,60.0,60.0,299.0,Sin acceso
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,57.0,59.0,46.0,48.0,49.0,263.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,53.0,57.0,48.0,47.0,39.0,245.0,Sin acceso
SANTANDER,SAN GIL,SANTANDER,SANTANDER,Si,Si,62.0,74.0,82.0,66.0,73.0,349.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,50.0,56.0,44.0,44.0,49.0,247.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,71.0,71.0,60.0,66.0,63.0,336.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,48.0,49.0,48.0,36.0,39.0,217.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,Si,45.0,66.0,53.0,56.0,59.0,281.0,Solo internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,61.0,66.0,75.0,78.0,72.0,348.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,67.0,63.0,75.0,66.0,54.0,317.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,70.0,65.0,76.0,74.0,68.0,349.0,Computador + internet
SANTANDER,PUERTO WILCHES,SANTANDER,SANTANDER,No,Si,46.0,40.0,52.0,37.0,31.0,198.0,Solo internet
SANTANDER,LOS SANTOS,SANTANDER,SANTANDER,No,No,33.0,35.0,32.0,41.0,42.0,187.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,62.0,61.0,71.0,49.0,52.0,286.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,52.0,51.0,52.0,45.0,60.0,260.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,61.0,62.0,54.0,56.0,54.0,290.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,48.0,57.0,52.0,47.0,44.0,246.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,57.0,32.0,55.0,56.0,272.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,51.0,50.0,32.0,49.0,41.0,233.0,Computador + internet
SANTANDER,GUADALUPE,SANTANDER,SANTANDER,No,Si,64.0,64.0,67.0,63.0,62.0,318.0,Solo internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,100.0,80.0,77.0,82.0,78.0,422.0,Computador + internet
SANTANDER,CERRITO,SANTANDER,SANTANDER,No,Si,60.0,46.0,53.0,40.0,38.0,233.0,Solo internet
SANTANDER,PUERTO WILCHES,SANTANDER,SANTANDER,No,No,38.0,41.0,31.0,37.0,27.0,177.0,Sin acceso
SANTANDER,MOGOTES,SANTANDER,SANTANDER,No,No,58.0,56.0,39.0,53.0,40.0,254.0,Sin acceso
SANTANDER,GALAN,SANTANDER,SANTANDER,Si,Si,70.0,71.0,34.0,70.0,69.0,336.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,55.0,48.0,60.0,52.0,49.0,258.0,Solo internet
SANTANDER,CIMITARRA,SANTANDER,SANTANDER,No,Si,31.0,40.0,41.0,30.0,25.0,161.0,Solo internet
SANTANDER,PUERTO PARRA,SANTANDER,SANTANDER,Si,Si,32.0,32.0,35.0,42.0,25.0,165.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,56.0,43.0,60.0,45.0,270.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,64.0,62.0,51.0,59.0,64.0,307.0,Computador + internet
SANTANDER,SOCORRO,SANTANDER,SANTANDER,No,Si,53.0,42.0,57.0,40.0,42.0,226.0,Solo internet
SANTANDER,GUACA,SANTANDER,SANTANDER,No,No,42.0,39.0,42.0,44.0,36.0,202.0,Sin acceso
SANTANDER,MOGOTES,SANTANDER,SANTANDER,No,No,43.0,36.0,48.0,36.0,42.0,200.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,67.0,62.0,64.0,64.0,56.0,312.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,No,56.0,69.0,70.0,59.0,62.0,311.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,33.0,38.0,34.0,43.0,41.0,192.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,52.0,53.0,53.0,53.0,58.0,270.0,Solo internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,73.0,66.0,66.0,66.0,68.0,340.0,Solo internet
SANTANDER,SABANA DE TORRES,SANTANDER,SANTANDER,No,Si,49.0,49.0,57.0,43.0,45.0,237.0,Solo internet
SANTANDER,PUERTO WILCHES,SANTANDER,SANTANDER,Si,Si,56.0,52.0,75.0,48.0,43.0,258.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,No,Si,76.0,70.0,58.0,64.0,55.0,328.0,Solo internet
SANTANDER,VELEZ,SANTANDER,SANTANDER,Si,Si,63.0,50.0,52.0,53.0,58.0,278.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,42.0,48.0,31.0,54.0,28.0,210.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,57.0,54.0,54.0,48.0,34.0,243.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,77.0,71.0,75.0,69.0,68.0,358.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,31.0,59.0,35.0,42.0,45.0,218.0,Solo internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,45.0,56.0,67.0,46.0,41.0,243.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,33.0,57.0,32.0,39.0,45.0,213.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,49.0,44.0,35.0,53.0,38.0,226.0,Computador + internet
SANTANDER,EL CARMEN DE CHUCURI,SANTANDER,SANTANDER,No,No,46.0,33.0,33.0,48.0,37.0,202.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,66.0,68.0,51.0,57.0,65.0,315.0,Solo internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,60.0,63.0,44.0,60.0,63.0,301.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,41.0,60.0,53.0,54.0,58.0,266.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,39.0,62.0,56.0,53.0,48.0,255.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,48.0,37.0,57.0,42.0,42.0,217.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,32.0,34.0,35.0,36.0,31.0,167.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,64.0,56.0,50.0,61.0,64.0,302.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,82.0,74.0,68.0,78.0,67.0,373.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,55.0,61.0,48.0,47.0,56.0,271.0,Computador + internet
SANTANDER,LANDAZURI,SANTANDER,SANTANDER,No,No,44.0,55.0,35.0,41.0,39.0,220.0,Sin acceso
SANTANDER,OIBA,SANTANDER,SANTANDER,Si,Si,69.0,58.0,52.0,54.0,54.0,291.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,52.0,61.0,46.0,45.0,54.0,262.0,Sin acceso
SANTANDER,EL CARMEN DE CHUCURI,SANTANDER,SANTANDER,Si,Si,41.0,37.0,31.0,37.0,38.0,188.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,Si,62.0,52.0,44.0,59.0,50.0,274.0,Solo internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,52.0,62.0,30.0,48.0,61.0,269.0,Computador + internet
SANTANDER,CURITI,SANTANDER,SANTANDER,No,No,49.0,44.0,40.0,45.0,47.0,229.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,61.0,48.0,48.0,55.0,53.0,269.0,Computador + internet
SANTANDER,LEBRIJA,SANTANDER,SANTANDER,Si,Si,71.0,70.0,56.0,66.0,65.0,335.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,No,No,57.0,56.0,56.0,57.0,54.0,280.0,Sin acceso
SANTANDER,SOCORRO,SANTANDER,SANTANDER,Si,Si,40.0,54.0,52.0,52.0,47.0,243.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,31.0,40.0,40.0,34.0,34.0,176.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,43.0,41.0,45.0,49.0,242.0,Computador + internet
SANTANDER,RIONEGRO,SANTANDER,SANTANDER,No,No,57.0,54.0,37.0,55.0,46.0,259.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,66.0,72.0,75.0,51.0,62.0,318.0,Computador + internet
SANTANDER,SABANA DE TORRES,SANTANDER,SANTANDER,No,Si,55.0,49.0,41.0,50.0,44.0,244.0,Solo internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,42.0,53.0,46.0,41.0,42.0,223.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,67.0,63.0,65.0,58.0,53.0,303.0,Solo internet
SANTANDER,MALAGA,SANTANDER,SANTANDER,No,Si,56.0,40.0,38.0,38.0,43.0,219.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,64.0,61.0,56.0,57.0,52.0,292.0,Solo internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,No,Si,36.0,43.0,44.0,33.0,41.0,193.0,Solo internet
SANTANDER,GAMBITA,SANTANDER,SANTANDER,No,No,55.0,41.0,40.0,52.0,49.0,243.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,66.0,70.0,72.0,65.0,72.0,343.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,65.0,68.0,51.0,53.0,289.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,No,36.0,39.0,41.0,43.0,29.0,185.0,Solo computador
SANTANDER,ZAPATOCA,SANTANDER,SANTANDER,Si,Si,58.0,54.0,52.0,55.0,51.0,272.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,55.0,73.0,77.0,74.0,67.0,340.0,Computador + internet
SANTANDER,ARATOCA,SANTANDER,SANTANDER,No,No,52.0,53.0,34.0,44.0,58.0,252.0,Sin acceso
SANTANDER,BARBOSA,SANTANDER,SANTANDER,Si,Si,39.0,52.0,47.0,49.0,48.0,235.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,Si,37.0,48.0,38.0,41.0,49.0,217.0,Solo internet
SANTANDER,SABANA DE TORRES,SANTANDER,SANTANDER,Si,Si,60.0,56.0,55.0,50.0,50.0,270.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,47.0,60.0,52.0,54.0,50.0,263.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,No,Si,80.0,69.0,77.0,67.0,72.0,362.0,Solo internet
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,No,60.0,65.0,59.0,56.0,60.0,301.0,Sin acceso
SANTANDER,TONA,SANTANDER,SANTANDER,No,No,47.0,50.0,44.0,47.0,43.0,233.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,56.0,56.0,56.0,53.0,55.0,275.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,54.0,56.0,58.0,54.0,53.0,273.0,Solo internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,45.0,41.0,42.0,44.0,41.0,213.0,Computador + internet
SANTANDER,VILLANUEVA,SANTANDER,SANTANDER,No,Si,54.0,66.0,59.0,50.0,55.0,282.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,53.0,39.0,33.0,48.0,44.0,225.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,52.0,50.0,45.0,42.0,32.0,220.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,72.0,46.0,65.0,65.0,44.0,287.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,40.0,39.0,36.0,34.0,35.0,185.0,Sin acceso
SANTANDER,CHARALA,SANTANDER,SANTANDER,No,Si,64.0,58.0,45.0,55.0,51.0,280.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,68.0,76.0,66.0,60.0,319.0,Computador + internet
SANTANDER,SOCORRO,SANTANDER,SANTANDER,Si,Si,64.0,72.0,49.0,56.0,61.0,311.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,56.0,58.0,60.0,54.0,50.0,275.0,Solo internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,68.0,66.0,67.0,64.0,64.0,328.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,35.0,44.0,50.0,44.0,39.0,206.0,Solo internet
SANTANDER,PUERTO WILCHES,SANTANDER,SANTANDER,No,Si,36.0,47.0,43.0,36.0,31.0,190.0,Solo internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,74.0,67.0,82.0,72.0,78.0,367.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,76.0,72.0,75.0,72.0,72.0,366.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,No,Si,65.0,60.0,57.0,59.0,54.0,297.0,Solo internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,52.0,44.0,42.0,43.0,31.0,212.0,Computador + internet
SANTANDER,SOCORRO,SANTANDER,SANTANDER,No,Si,59.0,55.0,53.0,55.0,56.0,280.0,Solo internet
SANTANDER,SABANA DE TORRES,SANTANDER,SANTANDER,No,No,69.0,70.0,67.0,79.0,68.0,356.0,Sin acceso
SANTANDER,CIMITARRA,SANTANDER,SANTANDER,Si,No,55.0,47.0,55.0,52.0,55.0,262.0,Solo computador
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,No,38.0,49.0,28.0,41.0,35.0,199.0,Solo computador
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,No,38.0,49.0,28.0,41.0,35.0,199.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,61.0,63.0,62.0,56.0,62.0,303.0,Computador + internet
SANTANDER,SAN GIL,SANTANDER,SANTANDER,Si,Si,73.0,72.0,60.0,70.0,68.0,350.0,Computador + internet
